text,sentiment
b'@BSNL_WB @BSNLCorporate Faced poor network and several call drops in my area Vill&amp;PO- Ranihati PS- BagdaN24PGS W\xe2\x80\xa6 https://t.co/hPgYMtEsei',b'negative'
b'RT @Irshad5676: Shocks #Ajith fans faced from the day they announced this film... \n1-#SiruthaiSiva director\n2-#SathyaJyothi producer\n3-#Vis\xe2\x80\xa6',b'neutral'
