id,Time,user,text,latitude,longitude
31753577,Sat Nov 17 05:03:11 +0000 2018,gfloreso,b'Just posted a photo @ Garrett Popcorn Shops https://t.co/OMXMg6EwXi',41.89818843,-87.63244629
15138299,Sat Nov 17 05:02:26 +0000 2018,nelsonvelazquez,b'#7for7 tonight! Two new signups for the next term from the #Improv Test-Drive. Welcome to the family! #hustlin? https://t.co/BnK4cVXswC',41.91152457,-87.63531016
618581306,Sat Nov 17 05:02:07 +0000 2018,BrianRanson,"b'From the depths, te amo! Really digging what I find to be a nice balance between the coffee and cinnamon. - Drinkin? https://t.co/VCXa62NVLn'",41.9539,-87.6834
96205471,Sat Nov 17 05:02:04 +0000 2018,segundent,b'#FridayNights and #SoulMusic \n#Groovin #Vibin #Chillin #Music #Soul #Rnb #AlGreen #Love  #theManOfManyFaces? https://t.co/qhGADzz6di',42.0411414,-87.6900587
3090274052,Sat Nov 17 05:00:26 +0000 2018,Jersey_Ian,b'How ya Twitter peeps doin this Friday night? ?',41.95783439,-87.65229511
1155142260,Sat Nov 17 04:58:18 +0000 2018,sixteenbones,"b""Another rockin' Friday night.  #lovefreaks @ Ravenswood Manor Historic District https://t.co/sLJlNcYeLK""",41.9653,-87.7009
1330436664,Sat Nov 17 04:45:18 +0000 2018,CptRedGhost,b'#filteredwithpicas #wobculture #accidentalrennaisance @ World of Beer https://t.co/AqhGkqKPoF',42.0472899,-87.68156
868870664,Sat Nov 17 04:42:19 +0000 2018,Coach_Mamon,"b'After a win tonight, early flight in the morning, my boy @jake_b0 is taking care of studies! True definition of a? https://t.co/Tw1g7eWcp6'",42.00009154,-87.65871961
4549162582,Sat Nov 17 04:40:06 +0000 2018,everylotchicago,b'4442 North Springfield Avenue https://t.co/dn27dUK2RM',41.96223,-87.72578
240277857,Sat Nov 17 04:36:23 +0000 2018,vinodivasworld,b'Chicago: Seems fitting to have my last wine dinner of the year with an old friend from Wisconsin who?s rocking it i? https://t.co/81AyDLuAwU',42.08008871,-87.69095483
818597386176069633,Sat Nov 17 04:19:09 +0000 2018,BostonMarketJob,"b'This #job might be a great fit for you: Assistant GM - Restaurant - https://t.co/0XQfdCxG3A #BostonMarket #FastCasual #Glenview, IL #Hiring'",42.0803518,-87.7979911
18317481,Sat Nov 17 04:07:04 +0000 2018,JesuitWarrior,"b""#32 graceod37  w/ a nice blocked shot. Loyola 40-18 over heated O'D/Welsch rival Naperville North. #32 with 0 pts (? https://t.co/meD1JeLk51""",42.08361,-87.7605
389155070,Sat Nov 17 03:47:05 +0000 2018,JayFrankel,b'Amazeballs - Drinking a Benthic by @halfacrebeer @ World of Beer  ? https://t.co/8z132uhNld',42.0471,-87.6816
29231959,Sat Nov 17 03:26:35 +0000 2018,iamderrickstwtr,b'It looks my running coach incorporated the #RunEveryDayChallenge | Day 16 into my Training plan. I was half ready t? https://t.co/8Txmsu6Ma9',41.96269887,-87.6681273
255843989,Sat Nov 17 03:18:20 +0000 2018,babyjanesays,b'Pecan Pop Pie? Is that a thing? \n?\nIT IS NOW. ???\n?\nHousemade poptarts stuffed with maple pecan pie filling. Coming? https://t.co/YYtSOk10lV',42.009063,-87.6616874
1432894322,Sat Nov 17 03:14:59 +0000 2018,KhalfaniMyrick,b'Good win for the @loyolaramblers today! #onwardlu #goramblers @ Gentile Arena https://t.co/IZ4tQkxq9E',42.00058383,-87.65916345
2797920078,Sat Nov 17 03:12:53 +0000 2018,CiderSoms,"b'Round 1 at the rightbeecider takeover. Berry Blend is merlot-like with raisin and current flavors. Melon, a summer? https://t.co/idPm4wYrDy'",41.93287,-87.65504
14665382,Sat Nov 17 03:12:46 +0000 2018,larryodean,b'Christian Mullaney capos at the sixth fret; magic follows silvie_svp @west_magnetic #singersongwriter @ Folk You https://t.co/mV93tVtVaV',41.95443,-87.67653
4549162582,Sat Nov 17 03:10:07 +0000 2018,everylotchicago,b'3904 West Montrose Avenue https://t.co/1q5sEF0pSl',41.96125,-87.72567
794330748,Sat Nov 17 03:09:45 +0000 2018,BoozyBeggarChi,"b""I'm at Fountainhead - @thefountchicago in Chicago, IL https://t.co/lw8VOajYoa""",41.9615796,-87.67878863
185512897,Sat Nov 17 03:08:40 +0000 2018,Leekovision,b'??????? \nLast nights spray at @eastroomchicago for our housepitchi new Thursdays #InArtWeTrust \n#airbrush : iwata_a? https://t.co/5fvDrX3ykD',41.92396,-87.6994
28850939,Sat Nov 17 03:03:54 +0000 2018,AddieDomske,b'My childhood dream of meeting Tom Servo and having the potential to shake his tiny hand is about to come true.? https://t.co/KG5mpEQ49r',41.93595401,-87.66328869
618581306,Sat Nov 17 03:03:08 +0000 2018,BrianRanson,b'Wondering if Pipeworks would consider sponsoring me...another delicious frothfest from those PDubs cats. ?? - Drink? https://t.co/DsamwfO9Y6',41.9583,-87.6852
14665382,Sat Nov 17 03:02:12 +0000 2018,larryodean,b'Tom Henry plays ?For a Ride? silvie_svp #singersongwriter @ Folk You https://t.co/wwYj0KKIWy',41.95443,-87.67653
2232088604,Sat Nov 17 03:00:24 +0000 2018,sarahrupani,"b'i like lights @ Evanston, Illinois https://t.co/TqkMfuniaO'",42.0411414,-87.6900587
13449912,Sat Nov 17 02:59:05 +0000 2018,salaboutme,"b""I'm at Sleeping Village in Chicago, IL https://t.co/PkSUKv8ciO""",41.93932349,-87.72127663
389842196,Sat Nov 17 02:57:20 +0000 2018,manabouttown75,"b'Friday night drinks (@ Spilt Milk in Chicago, IL) https://t.co/6t97Osd8kh'",41.92497646,-87.69732094
1807618530,Sat Nov 17 02:56:14 +0000 2018,soap_junkii,"b'#wrappingsoap #soapjunkii #holidaysoap #randolphstreetmarket @ Chicago, Illinois https://t.co/ppnh0KUJKS'",41.883222,-87.632496
472685620,Sat Nov 17 02:56:06 +0000 2018,b_knickerbocker,b'Wild Beer Brett in the streets #FOBAB fobab @ UIC Forum https://t.co/SMOIItwSK9',41.86679257,-87.64574149
34136263,Sat Nov 17 02:56:04 +0000 2018,brainsc,b'Ran into a guy who worked there. Really friendly. Great beer. #FOBAB - Drinking an A Wee Bit Foggy Scotch Ale (Barr? https://t.co/TlsVjgRJMu',41.8669,-87.6465
166033075,Sat Nov 17 02:53:37 +0000 2018,daphnedebauchee,b'? I rarely make pizza but I just had to try this new vegan crust. Crispy excellence and the Chao cheese melted perf? https://t.co/ZmNVo3guop',41.89664022,-87.6574067
